Date,accumulate
2024/6/23,1201703
2024/6/24,1141831
2024/6/25,1141831
2024/6/26,1131009
2024/6/27,1033287
2024/6/28,990461
2024/6/29,990461
2024/6/30,990461
2024/7/1,990461
2024/7/2,983885
2024/7/3,926609
2024/7/4,926609
2024/7/5,926609
2024/7/6,926609
2024/7/7,926609
2024/7/8,926609
2024/7/9,926609
2024/7/10,926609
2024/7/11,926609
2024/7/12,1221777
2024/7/13,1221777
2024/7/14,1221777
2024/7/15,1090701
2024/7/16,1090701
2024/7/17,1052487
2024/7/18,1052487
2024/7/19,1052487
2024/7/20,1052487
2024/7/21,1052487
2024/7/22,1052487
2024/7/23,1052487
2024/7/24,1052487
2024/7/25,1052487
2024/7/26,1052487
2024/7/27,1052487
2024/7/28,1052487
2024/7/29,1052487
2024/7/30,1052487
2024/7/31,1052487
2024/8/1,1454511
2024/8/2,1371553
2024/8/3,1371553
2024/8/4,1371553
2024/8/5,1371553
2024/8/6,2280237
2024/8/7,2280237
2024/8/8,2108551
2024/8/9,1985557
2024/8/10,1985557
2024/8/11,1985557
2024/8/12,1985557
2024/8/13,1985557
2024/8/14,1985557
2024/8/15,1985557
2024/8/16,2155398
2024/8/17,2155398
2024/8/18,2155398
2024/8/19,2155398
2024/8/20,2155398
2024/8/21,2281682
2024/8/22,2281682
2024/8/23,2281682
2024/8/24,2281682
2024/8/25,2281682
2024/8/26,2258724
2024/8/27,2188866
2024/8/28,2077642
2024/8/29,2021084
2024/8/30,1910226
2024/8/31,1910226
2024/9/1,1910226
2024/9/2,1840374
2024/9/3,1840374
2024/9/4,1840374
2024/9/5,1840374
2024/9/6,1840374
2024/9/7,1840374
2024/9/8,1840374
2024/9/9,1840374
2024/9/10,2013472
2024/9/11,2013472
2024/9/12,1991678
2024/9/13,1991678
2024/9/14,1991678
2024/9/15,1991678
2024/9/16,1991678
2024/9/17,1991678
2024/9/18,2156227
2024/9/19,2096761
2024/9/20,2096761
2024/9/21,2096761
2024/9/22,2096761
2024/9/23,2096761
2024/9/24,2096761
2024/9/25,2096761
2024/9/26,2096761
2024/9/27,2096761
2024/9/28,2096761
2024/9/29,2096761
2024/9/30,2458446
2024/10/1,2458446
2024/10/2,2458446
2024/10/3,2458446
2024/10/4,2458446
2024/10/5,2458446
2024/10/6,2458446
2024/10/7,2603628
2024/10/8,2603628
2024/10/9,2603628
2024/10/10,2603628
2024/10/11,2603628
2024/10/12,2603628
2024/10/13,2603628
2024/10/14,2603628
2024/10/15,2603628
2024/10/16,2718992
2024/10/17,2686928
2024/10/18,2686928
2024/10/19,2686928
2024/10/20,2686928
2024/10/21,2686928
2024/10/22,2656584
2024/10/23,2656584
2024/10/24,2656584
2024/10/25,2656584
2024/10/26,2656584
2024/10/27,2656584
2024/10/28,2509176
2024/10/29,2509176
2024/10/30,2509176
2024/10/31,2509176
2024/11/1,2509176
2024/11/2,2509176
2024/11/3,2509176
2024/11/4,2580004
2024/11/5,2456510
2024/11/6,2456510
2024/11/7,2456510
2024/11/8,2456510
2024/11/9,2456510
2024/11/10,2456510
2024/11/11,2596038
2024/11/12,2596038
2024/11/13,2596038
2024/11/14,2596038
2024/11/15,2596038
2024/11/16,2596038
2024/11/17,2596038
